#      	CITY:			X:     		 Y:
           28     -0.99935    0.0360596
           29    -0.866511    -0.499159
           30    -0.874885     -0.48433
           31     -0.69137     0.722501
           32    -0.899859    -0.436181
           33    -0.898197    -0.439593
           34     0.482205     0.876058
            1     0.717473     0.696586
            2     -0.98968     0.143298
            3    -0.999094    0.0425475
            4     0.991194     0.132421
            5      0.34881     0.937194
            6     0.857503     0.514478
            7     0.994097     0.108496
            8    -0.182645     0.983179
            9     0.828785    -0.559567
           10     0.517489     -0.85569
           11    0.0379884    -0.999278
           12    -0.742544    -0.669797
           13    -0.861008    -0.508592
           14     -0.98434     0.176281
           15    -0.488159     0.872755
           16   -0.0495759      0.99877
           17     0.490951     0.871187
           18     0.067379     0.997727
           19     -0.69137     0.722501
           20    -0.991421     0.130705
           21     0.029236    -0.999573
           22    -0.127518    -0.991836
           23    -0.958776    -0.284163
           24    -0.278816    -0.960344
           25    -0.874885     -0.48433
           26    -0.866511    -0.499159
           27    -0.898197    -0.439593
           28     -0.99935    0.0360596
           29    -0.556778    -0.830661
           30    -0.899859    -0.436181
           31     0.162934    -0.986637
           32     0.105631     0.994405
           33     0.482205     0.876058
           34     0.918643     0.395088
            1     0.717473     0.696586
            2     -0.98968     0.143298
            3    -0.999094    0.0425475
            4     0.991194     0.132421
            5      0.34881     0.937194
            6     0.857503     0.514478
            7     0.994097     0.108496
            8    -0.182645     0.983179
            9     0.828785    -0.559567
           10     0.517489     -0.85569
           11    0.0379884    -0.999278
           12    -0.742544    -0.669797
           13    -0.861008    -0.508592
           14     -0.98434     0.176281
           15    -0.488159     0.872755
           16   -0.0495759      0.99877
           17     0.490951     0.871187
           18     0.067379     0.997727
           19     -0.69137     0.722501
           20    -0.991421     0.130705
           21     0.029236    -0.999573
           22    -0.127518    -0.991836
           23    -0.278816    -0.960344
           24    -0.874885     -0.48433
           25    -0.866511    -0.499159
           26    -0.898197    -0.439593
           27    -0.958776    -0.284163
           28     -0.99935    0.0360596
           29    -0.556778    -0.830661
           30    -0.899859    -0.436181
           31     0.162934    -0.986637
           32     0.105631     0.994405
           33     0.482205     0.876058
           34     0.918643     0.395088
            1     0.717473     0.696586
            2     0.105631     0.994405
            3   -0.0495759      0.99877
            4     0.918643     0.395088
            5     0.490951     0.871187
