#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.48        0.48           0
           2        0.12         0.3    0.127279
           3         0.2    0.266667   0.0891108
           4        0.04        0.21   0.0829156
           5       -0.04        0.16        0.08
           6        0.16        0.16   0.0666667
           7        0.32    0.182857   0.0609354
           8        -0.2       0.135   0.0696195
           9       -0.12    0.106667   0.0674033
          10       -0.28       0.068   0.0708915
          11           0   0.0618182   0.0647158
          12       -0.04   0.0533333   0.0598764
          13        0.08   0.0553846   0.0553057
          14        0.36   0.0771429   0.0554704
          15        0.32   0.0933333   0.0540836
          16         0.2         0.1   0.0511126
          17       -0.08   0.0894118   0.0491905
          18           0   0.0844444   0.0467078
          19           0        0.08   0.0444604
          20        0.08        0.08   0.0422374
          21        0.36   0.0933333   0.0422783
          22        0.24         0.1   0.0408788
          23         0.4    0.113043   0.0411298
          24        0.24    0.118333   0.0397547
          25         0.4      0.1296    0.039729
          26         0.2    0.132308   0.0382931
          27        0.16    0.133333   0.0368886
          28        0.16    0.134286   0.0355834
          29        0.08    0.132414   0.0344056
          30        0.04    0.129333   0.0333964
          31        0.24    0.132903   0.0325093
          32        0.24     0.13625   0.0316652
          33        0.04    0.133333   0.0308397
          34         0.2    0.135294   0.0299949
          35         0.2    0.137143   0.0291948
          36        0.08    0.135556    0.028427
          37        0.24    0.138378   0.0277985
          38        0.08    0.136842   0.0271094
          39        0.12     0.13641   0.0264177
          40       -0.04       0.132   0.0261228
          41       -0.04    0.127805   0.0258203
          42           0    0.124762   0.0253842
          43       -0.32    0.114419   0.0268185
          44       -0.24    0.106364    0.027392
          45        -0.2   0.0995556   0.0276163
          46        0.04   0.0982609   0.0270463
          47        0.28    0.102128   0.0267459
          48        0.16    0.103333   0.0262158
          49        0.04    0.102041   0.0257126
          50        0.12      0.1024   0.0252009
          51        0.04    0.101176   0.0247364
          52       -0.04   0.0984615   0.0244093
          53           0   0.0966038   0.0240193
          54       -0.12   0.0925926   0.0239071
          55       -0.12   0.0887273   0.0237828
          56        -0.2   0.0835714   0.0239105
          57       -0.04   0.0814035   0.0235891
          58        0.24   0.0841379   0.0233403
          59           0   0.0827119   0.0229882
          60        0.12   0.0833333   0.0226135
          61        0.16   0.0845902   0.0222777
          62        0.24   0.0870968   0.0220589
          63         0.2   0.0888889   0.0217815
          64        0.24     0.09125   0.0215687
          65        0.28   0.0941538   0.0214315
          66        0.04   0.0933333   0.0211225
          67       -0.12   0.0901493   0.0210458
          68       -0.12   0.0870588    0.020962
          69       -0.28   0.0817391   0.0213225
          70       -0.16   0.0782857   0.0212958
          71        0.08   0.0783099   0.0209958
          72        0.04   0.0777778    0.020711
          73           0   0.0767123   0.0204546
          74        0.12   0.0772973   0.0201866
          75        0.12   0.0778667   0.0199255
          76        0.12   0.0784211    0.019671
          77       -0.04   0.0768831   0.0194755
          78        0.16   0.0779487    0.019255
          79        0.04   0.0774684   0.0190172
          80        0.08      0.0775   0.0187796
          81       -0.08   0.0755556   0.0186481
          82       -0.04   0.0741463   0.0184739
          83       -0.12   0.0718072   0.0183988
          84       -0.36   0.0666667   0.0188842
          85        0.08   0.0668235   0.0186627
          86        0.52    0.072093   0.0191752
          87        0.32   0.0749425   0.0191654
          88         0.2   0.0763636   0.0190002
          89        0.16   0.0773034   0.0188099
          90        0.16   0.0782222   0.0186233
          91        0.24        0.08   0.0185034
          92           0   0.0791304   0.0183227
          93        0.08   0.0791398   0.0181256
          94        0.12   0.0795745    0.017938
          95        0.08   0.0795789   0.0177492
          96       -0.12      0.0775   0.0176856
          97       -0.04   0.0762887   0.0175448
          98        0.08   0.0763265   0.0173658
          99         0.2   0.0775758   0.0172352
         100        0.12       0.078   0.0170681
         101       -0.04   0.0768317    0.016939
         102        0.12   0.0772549   0.0167783
         103       -0.04   0.0761165   0.0166539
         104           0   0.0753846   0.0165099
         105           0   0.0746667   0.0163682
         106        0.04   0.0743396   0.0162171
         107        0.04   0.0740187   0.0160687
         108        -0.2   0.0714815    0.016119
         109        0.16   0.0722936   0.0159916
         110        0.04       0.072   0.0158489
         111        0.12   0.0724324    0.015712
         112        0.28   0.0742857   0.0156806
         113        0.16   0.0750442   0.0155602
         114        0.36   0.0775439   0.0156232
         115        0.44   0.0806957    0.015802
         116        0.12   0.0810345   0.0156695
         117        0.24   0.0823932   0.0155943
         118        0.28   0.0840678   0.0155518
         119        0.32   0.0860504    0.015547
         120        0.52   0.0896667   0.0158324
         121        0.16   0.0902479   0.0157122
         122        0.24   0.0914754   0.0156313
         123        0.44   0.0943089    0.015759
         124        0.24   0.0954839   0.0156756
         125        0.24     0.09664   0.0155928
         126        0.32   0.0984127   0.0155695
         127        0.28   0.0998425   0.0155124
         128        0.08   0.0996875    0.015392
         129        -0.2   0.0973643    0.015447
         130           0   0.0966154   0.0153463
         131       -0.08   0.0952672   0.0152883
         132        0.16   0.0957576   0.0151803
         133           0   0.0950376   0.0150832
         134       -0.04   0.0940299   0.0150043
         135       -0.12   0.0924444   0.0149767
         136       -0.16   0.0905882   0.0149812
         137           0    0.089927   0.0148864
         138       -0.04   0.0889855   0.0148083
         139        0.32   0.0906475   0.0147947
         140         0.2   0.0914286   0.0147096
         141        0.12   0.0916312   0.0146067
         142        0.12    0.091831   0.0145052
         143        0.16   0.0923077   0.0144116
         144        0.24   0.0933333    0.014348
         145        0.12   0.0935172   0.0142502
         146        0.28   0.0947945   0.0142097
         147        0.32   0.0963265   0.0141954
         148        0.28   0.0975676   0.0141536
         149         0.2    0.098255   0.0140753
         150        0.08   0.0981333    0.013982
         151       -0.04   0.0972185   0.0139193
         152         0.2   0.0978947   0.0138442
         153        0.12   0.0980392   0.0137544
         154       -0.12   0.0966234   0.0137378
         155       -0.04   0.0957419   0.0136774
         156       -0.16   0.0941026   0.0136876
         157       -0.04   0.0932484   0.0136271
         158       -0.04   0.0924051   0.0135669
         159         0.2   0.0930818   0.0134984
         160        0.04     0.09275   0.0134181
         161        0.16   0.0931677   0.0133413
         162        0.16   0.0935802   0.0132653
         163       -0.08   0.0925153   0.0132266
         164       -0.08   0.0914634   0.0131877
         165        0.08   0.0913939    0.013108
         166           0   0.0908434   0.0130406
         167        -0.2   0.0891018   0.0130783
         168           0   0.0885714   0.0130112
         169        0.16   0.0889941    0.012941
         170        0.16   0.0894118   0.0128717
         171        0.12   0.0895906   0.0127976
         172        0.12   0.0897674   0.0127244
