#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1        -0.6        -0.6           0
           2       -0.68       -0.64   0.0282843
           3       -0.68   -0.653333   0.0217732
           4       -0.84        -0.7    0.043589
           5       -0.84      -0.728   0.0429325
           6       -0.84   -0.746667   0.0396279
           7       -0.84       -0.76   0.0361403
           8       -0.92       -0.78   0.0367423
           9       -0.92   -0.795556   0.0358016
          10       -0.92      -0.808   0.0343162
          11       -0.92   -0.818182   0.0326721
          12       -0.92   -0.826667   0.0310316
          13       -0.92   -0.833846   0.0294634
          14       -0.92       -0.84   0.0279942
          15       -0.92   -0.845333   0.0266311
          16       -0.92       -0.85   0.0253722
          17       -0.92   -0.854118   0.0242116
          18       -0.92   -0.857778   0.0231415
          19       -0.92   -0.861053    0.022154
          20       -0.92      -0.864   0.0212415
          21       -0.92   -0.866667   0.0203967
          22       -0.92   -0.869091   0.0196131
          23       -0.92   -0.871304   0.0188848
          24       -0.92   -0.873333   0.0182066
          25       -0.92     -0.8752   0.0175738
          26       -0.92   -0.876923   0.0169821
          27       -0.92   -0.878519    0.016428
          28       -0.92       -0.88   0.0159079
          29       -0.92   -0.881379    0.015419
          30       -0.92   -0.882667   0.0149587
          31       -0.92   -0.883871   0.0145246
          32       -0.92      -0.885   0.0141145
          33       -0.92   -0.886061   0.0137266
          34       -0.92   -0.887059   0.0133591
          35       -0.92      -0.888   0.0130105
          36       -0.92   -0.888889   0.0126794
          37       -0.92    -0.88973   0.0123646
          38       -0.92   -0.890526   0.0120648
          39       -0.92   -0.891282   0.0117791
          40          -1      -0.894   0.0117941
          41          -1   -0.896585   0.0117864
          42       -0.92   -0.897143   0.0115189
          43       -0.92   -0.897674   0.0112633
          44       -0.92   -0.898182   0.0110187
          45       -0.92   -0.898667   0.0107845
          46       -0.92    -0.89913   0.0105601
          47          -1   -0.901277   0.0105512
          48          -1   -0.903333   0.0105299
          49          -1   -0.905306   0.0104982
          50          -1     -0.9072   0.0104577
          51          -1    -0.90902   0.0104097
          52          -1   -0.910769   0.0103555
          53          -1   -0.912453   0.0102961
          54          -1   -0.914074   0.0102323
          55          -1   -0.915636   0.0101648
          56          -1   -0.917143   0.0100943
          57          -1   -0.918596   0.0100213
          58          -1       -0.92  0.00994635
          59          -1   -0.921356  0.00986976
          60          -1   -0.922667  0.00979191
          61       -0.92   -0.922623  0.00963148
          62       -0.92   -0.922581  0.00947623
          63       -0.92    -0.92254   0.0093259
          64       -0.92     -0.9225  0.00918027
          65       -0.92   -0.922462  0.00903911
          66       -0.92   -0.922424  0.00890224
          67       -0.92   -0.922388  0.00876944
          68          -1   -0.923529  0.00871444
          69          -1   -0.924638  0.00865832
          70          -1   -0.925714  0.00860131
          71          -1   -0.926761  0.00854356
          72          -1   -0.927778  0.00848524
          73          -1   -0.928767  0.00842648
          74          -1    -0.92973  0.00836741
          75          -1   -0.930667  0.00830814
          76          -1   -0.931579  0.00824876
          77          -1   -0.932468  0.00818935
          78          -1   -0.933333     0.00813
          79          -1   -0.934177  0.00807076
          80          -1      -0.935  0.00801171
          81          -1   -0.935802  0.00795289
          82          -1   -0.936585  0.00789434
          83          -1   -0.937349  0.00783611
          84          -1   -0.938095  0.00777824
