#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.36       -0.36           0
           2       -0.44        -0.4   0.0282843
           3       -0.36   -0.386667   0.0217732
           4       -0.36       -0.38   0.0173205
           5       -0.52      -0.408   0.0286217
           6       -0.44   -0.413333   0.0243432
           7       -0.28   -0.394286   0.0273195
           8       -0.52       -0.41   0.0280624
           9       -0.52   -0.422222   0.0274774
          10       -0.28      -0.408   0.0281709
          11       -0.52   -0.418182   0.0273882
          12       -0.44       -0.42   0.0251661
          13       -0.68       -0.44   0.0301476
          14       -0.68   -0.457143   0.0325048
          15       -0.68      -0.472   0.0335619
          16       -0.52      -0.475   0.0315981
          17       -0.44   -0.472941   0.0298063
          18       -0.52   -0.475556   0.0282649
          19       -0.52   -0.477895   0.0268739
          20       -0.44      -0.476   0.0255969
          21       -0.52   -0.478095   0.0244636
          22       -0.52       -0.48   0.0234256
          23       -0.52   -0.481739   0.0224716
          24       -0.36   -0.476667   0.0221004
          25        -0.6     -0.4816     0.02176
          26       -0.52   -0.483077   0.0209731
          27       -0.52   -0.484444   0.0202409
          28       -0.44   -0.482857   0.0195801
          29        -0.6   -0.486897   0.0193171
          30       -0.36   -0.482667   0.0191307
          31       -0.36    -0.47871   0.0189184
          32        -0.2       -0.47    0.020233
          33       -0.36   -0.466667   0.0198926
          34       -0.12   -0.456471   0.0217642
          35       -0.36   -0.453714   0.0213162
          36       -0.44   -0.453333   0.0207275
          37        -0.6   -0.457297   0.0205428
          38       -0.44   -0.456842   0.0200073
          39        -0.6   -0.460513   0.0198282
          40       -0.36      -0.458    0.019491
          41       -0.44   -0.457561   0.0190206
          42       -0.52   -0.459048   0.0186257
          43        -0.6   -0.462326   0.0184788
          44       -0.52   -0.463636   0.0181052
          45       -0.36   -0.461333   0.0178487
          46        -0.6   -0.464348   0.0177135
          47        -0.6   -0.467234   0.0175701
          48       -0.52   -0.468333   0.0172385
          49       -0.36   -0.466122   0.0170278
          50       -0.44     -0.4656   0.0166953
          51        -0.6   -0.468235   0.0165746
          52       -0.52   -0.469231   0.0162857
          53       -0.36    -0.46717   0.0161083
          54       -0.28   -0.463704   0.0161787
          55       -0.36   -0.461818    0.015994
          56       -0.36       -0.46   0.0158114
          57       -0.36   -0.458246    0.015631
          58       -0.44   -0.457931   0.0153647
          59       -0.36   -0.456271   0.0151937
          60       -0.52   -0.457333   0.0149775
          61       -0.36   -0.455738   0.0148167
          62       -0.36   -0.454194    0.014658
          63       -0.44   -0.453968   0.0144271
          64       -0.36     -0.4525   0.0142762
          65       -0.52   -0.453538   0.0140942
          66        -0.2   -0.449697   0.0143947
          67       -0.44   -0.449552   0.0141806
          68       -0.28   -0.447059   0.0141896
          69       -0.28   -0.444638    0.014189
          70       -0.52   -0.445714    0.014027
          71       -0.52   -0.446761   0.0138684
          72       -0.36   -0.445556   0.0137281
          73        -0.6   -0.447671   0.0137021
          74       -0.52   -0.448649   0.0135517
          75        -0.6   -0.450667   0.0135205
          76       -0.52   -0.451579   0.0133733
          77       -0.44   -0.451429   0.0132005
          78        -0.6   -0.453333   0.0131679
          79       -0.52   -0.454177   0.0130283
          80       -0.52      -0.455   0.0128914
          81        -0.6    -0.45679   0.0128559
          82       -0.52   -0.457561   0.0127222
          83        -0.6   -0.459277   0.0126842
          84       -0.52       -0.46   0.0125537
          85       -0.28   -0.457882   0.0125834
          86       -0.68   -0.460465   0.0126994
          87       -0.68   -0.462989   0.0128016
          88       -0.44   -0.462727   0.0126588
          89       -0.52   -0.463371   0.0125329
          90       -0.28   -0.461333   0.0125582
          91       -0.52   -0.461978   0.0124367
          92       -0.52   -0.462609   0.0123175
          93       -0.44   -0.462366   0.0121875
          94       -0.36   -0.461277   0.0121064
          95        -0.6   -0.462737   0.0120667
          96       -0.52   -0.463333   0.0119557
          97       -0.52   -0.463918   0.0118468
          98       -0.52    -0.46449   0.0117397
          99       -0.44   -0.464242   0.0116237
         100        -0.6     -0.4656   0.0115865
         101        -0.6   -0.466931   0.0115479
         102        -0.6   -0.468235   0.0115082
         103       -0.44   -0.467961   0.0113997
         104       -0.28   -0.466154   0.0114325
         105       -0.52   -0.466667   0.0113351
         106       -0.52    -0.46717   0.0112393
         107        -0.6   -0.468411   0.0112026
         108       -0.52   -0.468889   0.0111091
         109       -0.52   -0.469358    0.011017
         110       -0.52   -0.469818   0.0109265
         111       -0.52    -0.47027   0.0108374
         112       -0.52   -0.470714   0.0107497
         113       -0.52    -0.47115   0.0106634
         114       -0.36   -0.470175   0.0106144
         115       -0.28   -0.468522   0.0106501
         116        -0.2   -0.466207    0.010807
         117       -0.36   -0.465299   0.0107526
         118       -0.44   -0.465085   0.0106637
         119       -0.36   -0.464202   0.0106106
         120       -0.44      -0.464    0.010524
         121       -0.44   -0.463802   0.0104389
         122        -0.2   -0.461639    0.010575
         123       -0.68   -0.463415   0.0106369
         124       -0.52   -0.463871    0.010561
         125       -0.44    -0.46368   0.0104782
         126       -0.28   -0.462222   0.0104959
         127       -0.44   -0.462047   0.0104148
         128       -0.28   -0.460625   0.0104301
         129        -0.2   -0.458605   0.0105431
         130       -0.36   -0.457846   0.0104892
         131        -0.2   -0.455878   0.0105922
         132       -0.28   -0.454545   0.0105954
         133       -0.44   -0.454436   0.0105163
         134        -0.2   -0.452537   0.0106079
         135        -0.6    -0.45363   0.0105854
         136       -0.44   -0.453529    0.010508
         137       -0.36   -0.452847   0.0104535
         138       -0.44   -0.452754   0.0103782
         139       -0.52   -0.453237   0.0103148
         140       -0.36   -0.452571   0.0102626
         141       -0.52    -0.45305   0.0102009
         142       -0.52   -0.453521     0.01014
         143       -0.28   -0.452308   0.0101414
         144       -0.36   -0.451667   0.0100912
         145        -0.6    -0.45269   0.0100733
         146        -0.6   -0.453699   0.0100547
         147        -0.6   -0.454694   0.0100355
         148       -0.68   -0.456216   0.0100825
         149       -0.36    -0.45557   0.0100355
         150       -0.52      -0.456  0.00997775
         151       -0.44   -0.455894  0.00991224
         152        -0.6   -0.456842  0.00989226
         153       -0.52   -0.457255  0.00983621
         154       -0.28   -0.456104  0.00983946
