#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.44        0.44           0
           2        0.48        0.46   0.0141421
           3        0.16        0.36   0.0821922
           4        0.08        0.29   0.0864581
           5        0.12       0.256   0.0755566
           6       -0.16    0.186667   0.0892769
           7        0.04    0.165714   0.0789435
           8        0.04        0.15   0.0706222
           9        0.24        0.16   0.0634794
          10        0.28       0.172   0.0582546
          11        0.12    0.167273   0.0531502
          12        0.12    0.163333   0.0488668
          13        0.32    0.175385   0.0465701
          14        0.32    0.185714   0.0443745
          15        0.24    0.189333   0.0415635
          16           0      0.1775   0.0406154
          17       -0.08    0.162353   0.0409534
          18        0.28    0.168889   0.0391963
          19        0.16    0.168421   0.0371361
          20        0.24       0.172   0.0354514
          21       -0.08        0.16   0.0357365
          22       -0.16    0.145455   0.0369539
          23        0.12    0.144348   0.0353638
          24       -0.08       0.135    0.035104
          25       -0.04       0.128   0.0343907
          26        0.08    0.126154   0.0331175
          27       -0.08    0.118519   0.0327593
          28       -0.28    0.104286    0.034543
          29       -0.24   0.0924138   0.0353332
          30       -0.32   0.0786667   0.0367325
          31       -0.28   0.0670968   0.0373252
          32           0       0.065   0.0362177
          33        0.12   0.0666667   0.0351585
          34        0.32   0.0741176    0.034905
          35        0.44   0.0845714   0.0354386
          36        0.12   0.0855556   0.0344678
          37        0.04   0.0843243   0.0335583
          38       -0.04   0.0810526   0.0328342
          39        0.04        0.08   0.0320092
          40       -0.12       0.075   0.0315971
          41         0.2   0.0780488   0.0309732
          42        0.32   0.0838095   0.0307668
          43         0.4   0.0911628   0.0309175
          44        0.28   0.0954545   0.0305112
          45        0.28   0.0995556   0.0301076
          46        0.56    0.109565   0.0310724
          47         0.6        0.12   0.0321157
          48        0.44    0.126667   0.0321311
          49        0.28    0.129796   0.0316274
          50        0.24       0.132   0.0310715
          51        0.28    0.134902   0.0305975
          52        0.08    0.133846   0.0300273
          53       -0.08    0.129811   0.0297306
          54       -0.04    0.126667   0.0293459
          55       -0.24        0.12   0.0295599
          56       -0.08    0.116429    0.029247
          57           0    0.114386   0.0288051
          58       -0.08    0.111034   0.0285028
          59        0.04    0.109831   0.0280451
          60       -0.08    0.106667   0.0277555
          61        0.04    0.105574    0.027322
          62        0.16    0.106452   0.0268955
          63       -0.08    0.103492   0.0266309
          64       -0.16    0.099375   0.0265311
          65       -0.04   0.0972308   0.0262095
          66       -0.04   0.0951515   0.0258947
          67        0.28   0.0979104   0.0256547
          68        0.12   0.0982353   0.0252795
          69        0.28     0.10087     0.02505
          70        0.28    0.103429   0.0248225
          71        0.12    0.103662    0.024474
          72        0.36    0.107222   0.0243917
          73        0.16    0.107945   0.0240683
          74        0.16    0.108649   0.0237533
          75         0.2    0.109867   0.0234678
          76        0.16    0.110526   0.0231683
          77        0.32    0.113247   0.0230266
          78        0.24    0.114872   0.0227886
          79        0.24    0.116456   0.0225551
          80       -0.04      0.1145   0.0223578
          81        0.08    0.114074   0.0220858
          82        0.08    0.113659   0.0218204
          83        0.48    0.118072   0.0219994
          84         0.4    0.121429    0.021992
          85           0        0.12   0.0217796
          86         0.2     0.12093   0.0215462
          87        0.28    0.122759    0.021376
          88        0.16    0.123182   0.0211373
          89         0.4    0.126292   0.0211274
          90         0.4    0.129333   0.0211104
          91        0.52    0.133626   0.0213105
          92        0.52    0.137826   0.0214887
          93         0.6    0.142796   0.0218247
          94         0.2    0.143404    0.021601
          95       -0.08    0.141053   0.0215013
          96       -0.04    0.139167   0.0213598
          97       -0.12    0.136495   0.0213061
          98           0    0.135102   0.0211342
          99       -0.08    0.132929   0.0210321
         100        0.12      0.1328   0.0208221
         101        0.24    0.133861    0.020643
         102       -0.04    0.132157   0.0205109
         103       -0.04    0.130485   0.0203797
         104        0.12    0.130385    0.020184
         105        0.16    0.130667   0.0199938
         106        0.04    0.129811   0.0198234
         107        0.08    0.129346   0.0196436
         108        0.32    0.131111   0.0195409
         109        0.32    0.132844   0.0194383
         110        0.08    0.132364   0.0192675
         111        0.16    0.132613   0.0190956
         112        0.12      0.1325   0.0189254
         113       -0.16    0.129912   0.0189341
